Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
"The refrigerant vented off the top of charging cylinders needs to be recovered if it is:","An ozone depleting substance like HCFC","An HFC","A non-exempt substitute","All of these",D
"Vacuum pumps can be used to:","Recover refrigerant","Remove air and other non-condensables","Release refrigerant into the atmosphere","Both (a) and (c)",B
"What are the signs of refrigerant contamination?","Discolored oil","Acidic smell","Both (a) and (b)","None of these",C
"What does the process stub look like in small appliances?","A straight piece of tubing","A straight piece of wiring","A round piece of tubing","None of these",A
"What piece of equipment should we check regularly for leaks?","Recovery device","Recovery vacuum pump","Access fittings","All of these",A
"When the system pressure is found to be 0 psig, what does this indicate?","There has been a leak","There is minimal refrigerant left in the appliance","We cannot recover refrigerant","All of these",D
"Which of the following indicates a compressor burnout in a sealed system?","A pungent smell","A pungent, sweet smell","A pungent taste","All of these",A
"Which of the following statements is true for small appliances?","The EPA requires repair of all leaks above 80% of the leak rate","The EPA does not require repair of leaking small appliances","The AHRI Standard 740 requires repair of leaks","You should not repair leaking small appliances",B
"Which of the following would remove non-condensables from a system?","Filter driers","Flushing the system","Both (a) and (b)",,C
"A recovery device has to achieve a 4-inch vacuum in all circumstances.",True,False,,,B
"All recovery devices need to be tested at a place called AHRI Standard 740.",True,False,,,B
"At high temperatures, what do CFCs and HCFCs decompose to?","Hydrochloric and hydrofluoric acids","Hydrocarbon and hydrofluorocarbons","Chloric and fluoric acids","All of these",A
"Burning CFCs and HCFCs can:","Create toxic vapors that are harmful to inhale","Will produce phosgene gas","Result from cutting or welding pipes containing residual refrigerant","All of these",D
"If refrigerant has been released, what is the first thing you should do?","Locate an exit","Locate a self-contained breathing apparatus","Locate a specially contained breathing apparatus","Locate the leak to stop the fill of dangerous refrigerant",B
"If we cannot find a SCBA, what should we do?","Locate an exit","Vacate the area","Ventilate the area","All of these",D
"Safety markings used in appliances with hydrocarbon refrigerants are:","Applied by technicians to warn other technicians","Permanently made on the equipment during manufacturing","Have to be put on equipment permanently by technicians","All of these",B
"Why must technicians treat refrigerant cylinders as potential explosion hazards?","The steel shell reacts with moisture to create hydrogen","Cylinders absorb room heat, which weakens the shell","Valves always leak after transport, raising pressure","They are stored under pressure and can rupture violently",D
"What piece of equipment is needed on nitrogen tanks when using them to service an appliance?","Refrigerant thermometer","Pressure regulator","Manual gauge","All of these",B
"When do we need to use safety eyewear and butyl-lined gloves?","When testing the quality of refrigerant","When moving refrigerant cylinders","When connecting and disconnecting hoses","When taring the refrigerant scale",C
"Which of the following are areas that do not need to be marked when it comes to appliances that contain HCs?","Outside the refrigerator","Evaporators","Exposed tubing","Inside refrigerator door",D
"Which of the following is needed to protect your hands from refrigerant burns?","Cotton gloves","Butyl-lined gloves","Triple layered gloves","Any of the above",B
"After opening a system for service, a technician suspects moisture is present. Which corrective action should be taken to protect the system?","Purge the condenser to vent vapor","Drain the oil separator completely","Reduce condenser water flow for longer contact time","Install a correctly sized filter drier",D
"Which statement best explains how the compressor heater protects the compressor at start-up?","It heats the compressor oil to boil off any refrigerant mixed in","It raises discharge pressure so the condenser rejects heat more quickly","It dries the moisture in the receiver to stop rust in the liquid line","It preheats suction gas so the evaporator runs at a higher temperature",A
"What visual indication might be seen on a moisture-indicating sight glass if there is moisture in a refrigeration system?","A clear, unobstructed view through the glass","A cloudy mist forming on the sight glass","Scratches or cracks appearing on the glass","Water dripping from the sight glass",B
"Before servicing a rooftop unit, where should you verify the equipment’s official specifications?","The unit’s nameplate","The controller’s live display screen","The last technician’s service sticker","The color chart on the sight glass",A
"Where should a receiver tank be hooked to tap refrigerant in liquid form during service?","On the vapor line, close to the compressor inlet","On the suction line, midway to the evaporator","On the liquid line, close to the condenser outlet","On the discharge line, far from the condenser",C
"When the suction service valve is back-seated, which port is closed?","Suction line and compressor port","Compressor and gauge port","Compressor port","Gauge port",D
"Which of the following components is located just before the compressor?","Receiver","Accumulator","Condenser coils","TEV",B
"Which of the following refrigerants is not used in Type II systems?","R-407C","R-407A","R-245fa","R-22",C
"Which of the following tasks falls within EPA Section 608 Type II work?","Recover R-134a from an MVAC at an auto service bay","Evacuate a low-pressure R-123 centrifugal chiller","Service an R-410A rooftop unit at a supermarket site","Repair a small window AC with less than 5 lbs of refrigerant",C
"A plant chiller sends 52% of its cooling capacity to a chemical process loop and 48% to office HVAC. How is it classified?","Commercial refrigeration","Industrial process refrigeration","Comfort cooling","Ice making refrigeration",B
"A customer has an IPR system with 2000 pounds of R-22 refrigerant that has exceeded its leak rate threshold. How often is the customer required to perform a leak inspection after repair?","Every month","Every 3 months","Every 6 months","Once per calendar year",B
"A supermarket commercial refrigeration rack with 400 lb of R-410A refrigerant was repaired for leaks. How often must leak inspections be performed after repair?","Only if leaks return","Every 3 months","Every 6 months","Once per calendar year",D
"After the leak repair of a cold storage refrigeration system using 2500 pounds of R-410A and a successful initial verification test, when must the follow-up leak verification test be conducted?","The same day","The next day","Within 10 days","Within 30 days",C
"Before leak checks on a newly assembled field-piped system, what factor most strongly affects how many leaks you’re likely to find?","The refrigerant blend chosen for the outdoor unit charge.","The ambient humidity on the day of the initial installation.","The cabinet age of the outdoor section in the condenser","The proficiency of the installer who did the brazing and piping work",D
"On January 10, 2024, an HVAC servicing company disposes of a rooftop unit containing 35 lb of refrigerant. Until what date must the company retain the disposal records at minimum?","January 10, 2026","January 10, 2027","January 10, 2028","January 10, 2025",B
"A 60-lb comfort-cooling unit fails verification after a leak repair. The owner decides to retire it and replace it with a CO₂ (R-744) system, which is exempt from the Venting Prohibition. Under EPA leak-repair rules, the retirement must be completed within:","24 months","6 months","12 months","18 months",D
"During an audit, a facility with several chillers (each containing more than 50 lbs of ODP refrigerant) is asked for records of leak inspections and both verification tests after repairs. For compliance, the owner and operator must keep these records for at least:","2 years","3 years","5 years","Life of the appliance",B
"A grocery store’s 120-lb R-22 rack shows an annualized leak rate of 22% in its 2019 log. Under EPA rules for commercial refrigeration with more than 50 lb, which annual leak-rate threshold triggers the mandatory repair requirement?","10% annually","20% annually","30% annually","40% annually",B
"During a service call on a 60-lb system, you must verify whether the annual leak rate exceeds the EPA limit before topping off. To do that, you first need the system’s full charge. According to EPA rules, which method(s) may be used to determine the full charge?","Calculations based on power consumption, in kWh","Calculations based on tonnage","Calculations based on component and pipe sizes","Calculations based on the BTU capacity of the system",C
"Which of these methods is the best for pinpointing the exact location of a refrigerant leak?","Ultrasonic Leak Detector","Soap Bubble Leak Detection Test","Electronic Leak Detection","Leak Sniffing Method",B
"What is the first step to take to ensure a newly assembled system is leak-free?","Introduce an initial charge of refrigerant","Pressurize with an inert gas and leak check.","Pressurize with the refrigerant to be used in the system.","Pull a vacuum after adding refrigerant",B
"You’re pressure-testing an R-407C field-piped system. A trace gas is required to improve electronic detection. Which setup is code-compliant?","Nitrogen with a trace of R-22","Air with a trace of R-407C","Nitrogen with a trace of R-407C","CO₂ only at moderate pressure",C
"On a hermetic system with suspected leakage, which visual clue around joints and fittings most strongly suggests a slow, ongoing leak?","Bright, clean copper with no discoloration","Uniform frost on every exposed surface","Dull oxide layer with no residue present","Darkened dust stuck to a light oil film",D
"Which of the following installations is classified as commercial refrigeration under EPA leak-repair rules?","A supermarket’s display-case lineup","A bank’s rooftop chiller for offices","A pharma plant brine chiller","An arena ice-rink chiller",A
"Which of the following situations does qualify for an extension of a leak-repair deadline?","No tech available to visit site","Owner wants to delay repair","Budget approval still pending","Critical part is not available",D
"On a high-pressure capillary-tube system, which reading combination most strongly suggests an undercharge from a hidden leak?","High suction pressure with low superheat","High suction pressure with high subcooling","Low suction pressure with high superheat","Normal suction pressure with zero superheat",C
"Which set of actions correctly mothballs an appliance under EPA rules?","Power off the unit and move it to warehouse storage","Isolate the section, shut it down, and evacuate to atmospheric","Close liquid line only; leave suction open; keep it running","Recover to 0 psig, restart, and schedule parts for later",B
"In which of the following cases will charging a system that contains 50+ pounds of ozone-depleting refrigerant require you to calculate its leak rate?","following a retrofit","During the installation of a new appliance","During a qualified seasonal variance","When topping off the system",D
"In a refrigeration compressor, which component is most likely to fail and cause leaks after months of inactivity due to hardened rubber seals?","Pressure relief valve","Rotating shaft seal","Discharge service valve","Head gasket",B
"When drawing deep vacuums, a hermetic recovery machine will:","Run faster than other recovery units","Overheat due to reduced flow of refrigerant through the compressor","Cause high compression of recovered refrigerant","Make the oil used in hermetic compressor to become highly viscous",B
"A technique to speed up the recovery process is:","Use a plastic recovery tank","Cool the recovery cylinder","Use a four-stage vacuum pump","Heat the recovery cylinder",B
"A technician just finished liquid refrigerant recovery on an appliance. What must be done with the remaining refrigerant vapor to finish the recovery process?","Pumped into the receiver by running the compressor","Purged slowly to the atmosphere at low pressure","Isolated in the system until pressure equalizes","Recovered through the vapor line using the recovery unit",D
"During refrigerant recovery, water from the local municipal water supply is used to cool the:","Water-cooled chillers","Hermetic recovery unit","Water-cooled recovery unit","Deionized water recovery unit",C
"Recovering refrigerant from a system in the liquid phase will cause the loss of which of the following?","Water","Oil","Refrigerant","Non-condensables",B
"A technician begins recovery on a supermarket parallel rack without closing isolation valves. The recovery stalls even though the machine is on. What system feature is causing this?","Hot-gas bypass cycling the TXV","Suction accumulator trapping liquid","Shared discharge header equalizing pressure","Crankcase heaters boiling off oil",C
"Self-sealing connectors and hand valves are used because they:","Minimize the chance of an explosion","Minimize refrigerant mixing with the refrigerant oil","Minimize refrigerant release when hoses are connected and disconnected","Prevent vapor lock during liquid transfer",C
"Before filling a cylinder with refrigerant, which step must be performed first?","Purge the cylinder with oxygen","Mix the refrigerant thoroughly","Heat the cylinder","Evacuate the cylinder",D
"What must be completed before connecting a recovery unit to evacuate refrigerant?","Acid testing the refrigerant.","Flushing the recovery unit using nitrogen.","Replace or top up the recovery unit’s oil as needed.","Checking the service valve positions and recovery oil level, when applicable.",D
"When servicing an appliance with a receiver/storage tank:","the compressor discharge valve should be closed","the compressor suction valve should be closed","refrigerant should be pumped down to and isolated in the receiver","a gauge pressure of “0” psia should be achieved by venting",C
"You’re servicing a unit with a receiver tank. The receiver outlet sits higher than the condenser outlet. Where should you pull from to recover correctly?","From the condenser outlet","From the receiver outlet","From the compressor discharge","From the liquid line sight glass",A
"A technician has to make a major repair in an appliance having 1000 pounds of R407C. Which of the following levels must he evacuate the system to? PT Chart","0 psig","25 mm Hg absolute","10 inches of Hg vacuum","15 inches of Hg vacuum",C
"A ____ pressure on the ____ side can confirm the presence of non-condensable gases in the system.","lower; suction","higher; suction","lower; discharge","higher; discharge",D
"How can we charge an 80-pound R407C system with air-cooled components?","Vapor charge through the suction service valve","Vapor charge through the liquid-line service valve","Liquid charge through the suction service valve","Liquid charge through the liquid-line service valve",D
"Refrigerant has been recovered during the replacement of the evaporator coil in an appliance. After the repairs, the refrigerant:","can be filled back into the system","can be sold as it is to another equipment owner","must be reclaimed","must be destroyed",A
"The risk of water in the appliance freezing while charging an R-410A appliance will remain until the system achieves a pressure of approximately: PT Chart","32 psig","63 psig","90 psig","110 psig",D
"Water present in the system can freeze if:","A large vacuum pump is used for evacuation","A recovery unit is used for evacuation","The system’s compressor is used for evacuation","A house vacuum cleaner is used for evacuation",A
"What is the standing pressure of R-410A at 80°F? PT Chart","143 psig","180 psig","235 psig","260 psig",C
"At 0 psig pressure, what is the approximate evaporation temperature of R-134a? PT Chart","-21°Fahrenheit","-15°Fahrenheit","-6°Fahrenheit","0°Fahrenheit",B
"During the evacuation of a moisture-laden chiller, the vacuum stalls, and frost begins to form in the piping. What action should the technician take to restore flow without adding refrigerant?","Add a small refrigerant charge to warm the lines, then pull again","Run the compressor to heat the circuit before continuing evacuation","Open the system to room air to equalize pressure and temperature","Break the vacuum with a brief nitrogen sweep, then resume evacuation",D
"Which units are used to measure a deep vacuum?","Psig","Psia","Inches of Hg","Microns",D
"A ""major repair"" under EPA's regulations would be:","Replacing a condenser coil","Replacing a filter-drier","Replacing a condenser fan motor","Replacing a blower fan motor",A
"An equipment room has an appliance that uses R717. Under ASHRAE Standard 15, which piece of equipment is not compulsory in the room?","Fire extinguisher","Refrigerant Detector","Mechanical ventilation system","Mechanical exhaust fans",B
"Oil foaming in a system can be detected in the:","Condenser","Evaporator","Compressor","Expansion device",C
"A piping sketch shows two pressure relief valves installed one after the other on the same discharge line. What is the correct action?","Reject the design; relief valves must not be in series","Accept if both valves have the same set pressure","Accept with annual testing and documentation","Accept only on large receivers with high charge",A
"The purpose of isopropyl alcohol is:","to regulate the pressure during evacuation","to remove air from the filter drier","to clean ice and dirt off the sight glass","to vent the refrigerant",C
"We would take an ____ if a unit has a compressor burnout, and it is considered a ____.","refrigerant sample; major repair","air sample; minor repair","oil sample; major repair","oil sample; normal repair",C
"When the ____ is closed, the reciprocating compressor might get damaged if it is energized.","discharge service valve","suction service valve","shut-off valve","thermal expansion valve",A
"After opening a system to repair a small leak, a technician pulls a deep vacuum and prepares to recharge. Which component must be replaced before charging?","Filter drier","Sight glass","Liquid receiver","Crankcase heater",A
"After the refrigerant leaves the purge unit, where does it go?","Condenser","Recovery Cylinder","Evaporator","Compressor",C
"Which classification best describes R-123's toxicity according to ASHRAE safety rating?","Low toxicity","High toxicity","Medium toxicity","Non-toxic",B
"What is the ASHRAE safety rating of R-1233zd?","B1","B2","A1","A2",C
"What is the boiling point of R-123?","74.9 ℉","82 ℉","-41.3 ℉","-55.4 ℉",B
"What is the pressure of R-123 when it boils at 82°Fahrenheit?","20 inches Hg","18.1 inches Hg","20.6 psig","14.7 psia",D
"While preparing to charge a low-pressure chiller, you check the safety limit for over-pressure protection. The rupture disc is designed to burst at:","10 psig","15 psig","5 psig","20 psig",B
"Which of the following components are only found in Type 3 appliances?","Compressor","Purge Unit","Condenser","Evaporator",B
"Which of the following is not a Type 3 refrigerant?","R-11","R-22","R-123","R-1233zd",B
"Which of the following refrigerants would be used in a low-pressure appliance?","R-22","R-123","R-410A","R-407A",B
"You’ve pressurized a chiller tube with colored water using a tube test kit. Which result confirms the tube is leaking?","Dye seeping out and visible color marking","A steady gauge reading with clear water","Vapor at the vent with no dye trace","No dye movement and no external marks",A
"With the water side drained, why is the drain valve opening the preferred spot to sample with a leak detector?","It is the warmest point, boosting detector sensitivity","It sits farthest from the rupture disc seal","It reduces noise from the vent valve area","It’s the lowest port where leaked vapor gathers",D
"Continuous excessive moisture collection in which component of a low-pressure refrigeration system could indicate a leak?","Water Box","Purge Unit","Drain Valve Outlet","Pressure Relief Valve",B
"After pulling a low-pressure chiller down to 1 mm Hg, the reading climbs to 2.7 mm Hg over a short hold. What is the compliant next step according to ASHRAE?","Proceed to charge; rise is still acceptable","Repeat evacuation and ignore the pressure rise","Perform additional leak checking before any charging","Add nitrogen to 12 psig to stabilize",C
"When leak testing a low-pressure refrigeration system with nitrogen, exceeding ____ psig could cause the ____ to fail.","30; Condenser tubes","30; Purge unit shells","10; Rupture disc","20; Evaporator tubes",C
"Where does water usually leak into low-pressure chillers?","Tube leaks","Relief valve","Failed condenser gasket","Service ports",C
"A belt-driven non-hermetic compressor has sat idle for months and leaks on startup. What condition most likely explains the leakage?","Suction service valve packing swelled under deep vacuum","Rubber in the rotating shaft seal hardened and lost sealing","Piston rings eroded due to long-term moisture exposure","Threads on the king valves expanded and loosened under heat",B
"On January 10, 2024, an HVAC servicing company disposes of a rooftop unit containing 35 lb of refrigerant. Until what date must the company retain the disposal records at minimum?","January 10, 2026","January 10, 2027","January 10, 2028","January 10, 2025",B
"A low-pressure chiller with a full charge >200 lb is found leaking on June 15, 2024. The owner chooses a replacement that uses a refrigerant that is exempt from venting prohibitions. By what date must the unit be retired or retrofitted?","June 15, 2025","March 15, 2026","September 15, 2025","December 15, 2025",D
"How long must owners and operators of low-pressure chillers using R11 refrigerant keep records of leak inspections, initial verification, and follow-up verification tests?","2 years","3 years","5 years","Life of the appliance",B
"How long must owners and operators of regulated appliances normally containing 50 or more pounds of CFC refrigerant keep records of leak inspections, initial leak verification, and follow-up verification tests?","2 years","3 years","5 years","Life of the appliance",B
"During a service call on a 60-lb system, you must verify whether the annual leak rate exceeds the EPA limit before topping off. To do that, you first need the system’s full charge. According to EPA rules, which method(s) may be used to determine the full charge?","Calculations based on power consumption, in kWh","Calculations based on tonnage","Calculations based on component and pipe sizes","Calculations based on the BTU capacity of the system",C
"Which of the following situations does qualify for an extension of a leak-repair deadline?","No tech available to visit site","Owner wants to delay repair","Budget approval still pending","Critical part is not available",D
"In which of the following cases will charging a system that contains 50+ pounds of ozone-depleting refrigerant require you to calculate its leak rate?","Following a retrofit","During the installation of a new appliance","During a qualified seasonal variance","When topping off the system",D
"When disposing of an HVAC appliance with 10 pounds of refrigerant, what is one EPA-mandated recordkeeping requirement?","Do not include refrigerant type in records","Only keep electronic records at headquarters","Keep disposal records for at least 3 years","Retain records for less than 1 year",C
"Why do recovery units used on low-pressure chillers include a high-pressure cut-out set near the 10 psig range?","To increase flow rate through the recovery compressor","To keep the purge unit operating continuously","To prevent the rupture disc from bursting as pressure climbs","To maintain constant superheat at the condenser outlet",C
"You’re beginning recovery on a low-pressure chiller at ambient conditions. To follow best practice, you should:","Open the purge and hold at 0 psig","Pump out liquid first, then recover vapor","Pump out vapor first, then recover liquid","Add heat, then pull vapor only",B
"Why use a water-cooled recovery unit?","Easier transport","Lower cost","Faster recovery","No power required",C
"In the case of confirmed leaks during refrigerant recovery in a chiller, what must be done?","Drain water from condenser and evaporator barrels","Increase system pressure","Bypass the recovery unit","Leave water inside the system",A
"What is a requirement for equipment used for recovery, evacuation, and troubleshooting purposes, manufactured after November 15, 1993?","They must be equipped with high-pressure cut-out controls","They must have pressure gauges with high-pressure readings","They must be fitted with low-loss fittings","They must include additional recovery hoses for redundancy",C
"While evacuating a low-pressure chiller with no confirmed tube leaks, the water pump is accidentally switched off. As recovery continues, the barrel temperature keeps dropping. What is the immediate risk if you do not restore water circulation?","Loss of recovered mass to the purge unit","Sudden rise in refrigerant pressure above setpoint","Ice formation that can damage tubes and pumps","Loss of vacuum due to air diffusion",C
"What risk is associated with attempting to melt ice formed in the chiller system after charging with liquid refrigerant?","Increased energy consumption","Increased compressor wear and tear","Risk of rupture and bursting of coils","Decreased cooling efficiency",C
"While charging a water-cooled, low-pressure chiller after evacuation, which indicator tells you it’s safe to switch from vapor to liquid charging?","Saturation temperature increases above 32°F","Suction pressure falls below 10 in Hg absolute","Cylinder scale shows 15 minutes of steady mass flow","Discharge superheat increases by 10°F from baseline",A
"Identify the recovery requirements for equipment disposal","0 psig","15 inches of Hg vacuum","25 inches of Hg vacuum","25 mm of Hg absolute",D
"Water present in the system can freeze if?","A large vacuum pump is used for evacuation","A recovery unit is used for evacuation","The system’s compressor is used for evacuation","A house vacuum cleaner is used for evacuation",A
"To introduce initial refrigerant vapor from the lowest point on a centrifugal chiller, which service connection should be used?","Evaporator charging valve","Condenser service valve","Compressor cooler jacket","Purge unit exhaust port",A
"During the evacuation of a moisture-laden chiller, the vacuum stalls, and frost begins to form in the piping. What action should the technician take to restore flow without adding refrigerant?","Add a small refrigerant charge to warm the lines, then pull again","Run the compressor to heat the circuit before continuing evacuation","Open the system to room air to equalize pressure and temperature","Break the vacuum with a brief nitrogen sweep, then resume evacuation",D
"After confirming a leak, a technician is scheduled to replace an evaporator coil on a low-pressure chiller. Under EPA rules, this job is classified as a:","Major repair","Emergency service","Minor repair","System-dependent repair",A
"A mechanical room contains equipment using A1, A2L, and B2 refrigerants. To comply with ASHRAE Standard 15-2013, the refrigerant alarm system must detect leaks from:","A1 refrigerants","B2 refrigerants","A2 refrigerants","All refrigerant safety groups",D
"According to ASHRAE Standard 15-2013, which equipment is mandated to detect refrigerant leaks?","Room Sensors","Mechanical Ventilators","Pollution Detectors","Air purifiers with HEPA filters",A
"During a design review, a junior technician proposes installing two pressure relief valves in series on the discharge line “for extra safety.” The correct response is:","Not allowed; relief valves must never be installed in series","Allowed if the valves are the same capacity","Allowed with annual testing and documentation","Required on systems with very large charges",A
"What is the main function of isopropyl alcohol in refrigeration systems?","to regulate the pressure while evacuation","to remove air from the filter drier","to remove ice off the sight glass","to vent the refrigerant",C
"If a unit experiences a compressor burnout, we would collect an ____ as part of a ____.","refrigerant sample; major repair","air sample; minor repair","oil sample; major repair","oil sample; normal repair",C
